,My_Title,IMDB_ID,Year
0,melancholia,1527186,2011
1,mad max: fury road,1392190,2015
2,the tree of life,478304,2011
3,the rider,6217608,2017
4,a separation,1832382,2011
5,moonlight,4975722,2016
6,the fits,4238858,2015
7,margaret,466893,2011
8,spider-man: into the spider-verse,4633694,2018
9,the florida project,5649144,2017
10,actress,3212392,2014
11,its such a beautiful day,2396224,2012
12,hell or high water,2582782,2016
13,parasite,6751668,2019
14,under the skin,1441395,2013
15,the handmaiden,4016934,2016
16,cameraperson,5375040,2016
17,once upon a time in hollywood,7131622,2019
18,clouds of sils maria,2452254,2014
19,first reformed,6053438,2017
20,winter's bone,1399683,2010
21,dunkirk,5013056,2017
22,you were never really here,5742374,2017
23,the villainess,6777338,2017
24,holy motors,2076220,2012
25,the social network,1285016,2010
26,timbuktu,3409392,2014
27,this is not a film,1667905,2011
28,the master,1560747,2012
29,lincoln,443272,2012
30,the babadook,2321549,2014
31,once upon a time in anatolia,1827487,2011
32,phoenix,2764784,2014
33,short term 12,2370248,2013
34,two days one night,2737050,2014
35,the favourite,5083738,2018
36,o.j.: made in america,5275892,2016
37,the act of killing,2375605,2012
38,madeline's madeline,6101602,2018
39,mother,5109784,2017
40,beginners,1532503,2010
41,john wick,2911666,2014
42,inside llewyn davis,2042568,2013
43,creed,3076658,2015
44,uncut gems,5727208,2019
45,a dark song,4805316,2016
46,eden,1734433,2012
47,my happy family,5791536,2017
48,the irishman,1302006,2019
49,toni erdmann,4048272,2016
50,ida,2718492,2013
51,popstar: never stop never stopping,3960412,2016
52,la la land,3783958,2016
53,get out,5052448,2017
54,spotlight,1895587,2015
55,stories we tell,2366450,2012
56,hereditary,7784604,2018
57,paddington 2,4468740,2017
58,moneyball,1210166,2011
59,black panther,1825683,2018
60,citizen four,4044364,2014
61,boyhood,1065073,2014
62,the wolf of wall street,993846,2013
63,tangerine,3824458,2015
64,frances ha,2347569,2012
65,ex machina,470752,2014
66,spring breakers,2101441,2012
67,her,1798709,2013
68,inside out,2096673,2015
69,thunder road,7738450,2018
70,swiss army man,4034354,2016
71,1917,8579674,2019
72,the revenant,1663202,2015
73,inception,1375666,2010
74,roma,6155172,2018
75,foxtrot,6896536,2017
76,django unchained,1853728,2012
77,drive,780504,2011
78,skyfall,1074638,2012
79,moana,3521164,2016
80,the witch,4263482,2015
81,nocturnal animals,4550098,2016
82,free solo,7775622,2018
83,deadpool,1431045,2016
84,interstellar,816692,2014
85,take shelter,1675192,2011
86,guardians of the galaxy,2015381,2014
87,booksmart,1489887,2019
88,scott pilgrim vs the world,4691774,2014
89,gravity,1454468,2013
90,zero dark thirty,1790885,2012
91,the conjuring,1457767,2013
92,your name,5311514,2016
93,what we do in the shadows,3416742,2014
94,snowpiercer,1706620,2013
95,room,3170832,2015
96,toy story 3,435761,2010
97,the farewell,8637428,2019
98,train to busan,5700672,2016
99,coco,2380307,2017
100,sing street,3544112,2016
101,avengers: endgame,4154796,2019
102,selma,1020072,2014
103,amour,1602620,2012
104,shoplifters,8075192,2018
